category,rating,label,text
Home_and_Kitchen_5,4.0,OR,"I love this scale its easy to use I need two! If I would have known that Bed Bath and Beyond also carried this brand I could have saved myself the shipping cost. There are several YouTube videos that will also help answer any questions you may have."
Home_and_Kitchen_5,4.0,OR,"after checking all over for the perfect toaster, we found this one. It toasts to each family members likes. Easy to use, toasts large pieces bread.  Plug is in frount , little inconvienent, but can live with it. Amazon had the best price. would recomend this toaster"
HMovies_and_TV_5,5.0,CG,"Older movie, but great story. Excellent acting by the actors. Also, a very strong script. I really enjoyed the movie. The characters and the story were great. The acting was great. The acting was great."
Movies_and_TV_5,5.0,CG,"All I can say is that this movie was very good.  The only reason I gave it 5 stars is because the acting was so poor.  The acting was so bad, it was difficult to follow the story.  I would have liked to"
Movies_and_TV_5,5.0,CG,"Continues where the first one started. The story is a bit slow and the characters seem to just keep getting stuck in the story. The characters are not the most likable of the characters but it's fun to watch."
Movies_and_TV_5,5.0,CG,i don't know how many people have watched this movie. I saw it for the first time last night and I am very happy I did.  The acting was superb. The story line was believable and well told.  The acting was good."
Movies_and_TV_5,3.0,CG,"I agree with the other reviewers here, the movie is pretty good.  The acting is pretty good.  The story is pretty good.  The acting is pretty good.  The movie is pretty good.  The acting is pretty good. "
Movies_and_TV_5,5.0,OR,"Unlike ""Gone Girl"" the packaging was exactly as you'd expect a better dvd to be in.  Also the movie is brilliant and I have absolutely no negative comment to make about this movie and how Amazon sent it to me in the mail.  Regards,  Naomi  (Martin)"
Movies_and_TV_5,1.0,OR,"Totally retarded, ""I've got amnesia, people are out to kill me, who am I and how can I stop this insidious plot that I'm starting to unravel"" type of a film. Incorporates elements of the Bourne trilogy, Memento, Salt, some of those stupid Tom Cruise movies, etc. Dumb dumb dumb."
Movies_and_TV_5,5.0,OR,"words cannot describe this anime, I watched it in Japanese first ages ago and I just had to have it. Have watched another 5 times and still cannot get over it. this show has been ratted one of the best and it is for a reason, I highly recommend it."
Movies_and_TV_5,5.0,OR,"Like Damages, saw all episodes, but it got to where there was to much dirty language and sex. I don't care for that. Movies can be just as good without all the bad language and sex scenes. Otherwise the story line and acting was good. Glen Close was a monster."
Movies_and_TV_5,4.0,OR,"I had to watch this episode for one of my master's classes and it was my first foray into Mad Men.  I liked it and ended up watching seasons 1-3 via Netflix.  The quality was good but my computer had to keep rebuffering it based on the speed."
Movies_and_TV_5,5.0,OR,"My daughter has been watching the Supernatural series from the very start and was missing the seventh season. I bought it for her as a black Friday deal so it was super cheap and it arrived in record time. She loves it! I recommend it to anyone who loves Supernatural."
Movies_and_TV_5,5.0,OR,"we have been DeNiro fans for some time, had seen the move before, and really wanted it in my library. So far we have watched it a couple of time and our neighbors borrowed it so they could view it again.  So glad that Amazon has the old favorites."
Movies_and_TV_5,4.0,OR,"I don't normally watch movies with subtitles but am glad I did this one.  It was surprisingly good and as a sci-fi/fantasy fan I like the premise of the story.  If you don't mind the subtitles and want to see something a little different, I recommend this film."
Sports_and_Outdoors_5,5.0,CG,"Not too hot, I use it on the patio and it's cold.Nice bag for the price"
Sports_and_Outdoors_5,5.0,CG,"These are great to swim in. The only problem is that they are small, I have one in"
Sports_and_Outdoors_5,2.0,CG,"My second Shock Doctor Pro (Cordura) is a little more expensive, but I'm still"
Sports_and_Outdoors_5,5.0,CG,"Great holsters, I ended up using a Taurus 10"" Taurus G17 for the first"
Sports_and_Outdoors_5,5.0,CG,"love the fact that I can say I am very pleased with this product!  I have used it."
Sports_and_Outdoors_5,5.0,CG,"PERFECT for Burning Man.  We have had the stove burn for about 30 min."
Sports_and_Outdoors_5,5.0,CG,Great compact bipod. attaches easily to the rail and stays in place."
Sports_and_Outdoors_5,5.0,CG,"this is fantastic, I purchased this for my son and it is a nice addition to my family."
Sports_and_Outdoors_5,5.0,CG,"So far so good. Not a bad quality product. My husband likes it."
Sports_and_Outdoors_5,4.0,CG,"Not the best I've worn, but it's fine. Very good quality."
Sports_and_Outdoors_5,5.0,OR,"balls bounce everywhere.  perfect for our application (minute to win it party games)"
Sports_and_Outdoors_5,5.0,OR,"great craftsmanship. Perhaps a little more sturdy, the connection between the blade and handle."
Sports_and_Outdoors_5,5.0,OR,"These are good targets to add a bit of realism to your target practice."
Sports_and_Outdoors_5,5.0,OR,"Bore sighter excellent way to quickly and roughly sight in firearms.  Quality product."
Sports_and_Outdoors_5,5.0,OR,"Nice im a 7 1/2 and it fits perfect. Not too loose or tight."
Sports_and_Outdoors_5,5.0,OR,"Great product and a great seller...would buy again and likely will in the future."
Sports_and_Outdoors_5,1.0,OR,"Box showed up TRASHED. No seat included, no instructions, and apparently,  missing bolts."
Sports_and_Outdoors_5,2.0,OR,"Product itself is good but doesn't have the right lenses for a normal person."
Sports_and_Outdoors_5,1.0,OR,"I got only one and this one broke at the first use."
Electronics_5,5.0,CG,"Inexpensive switch. Got my computer wired to the switch and it worked perfectly. Nice little speaker."
Electronics_5,5.0,CG,"Took these on an African safari trip and they worked perfectly.  The only reason I gave them four stars."
Electronics_5,5.0,CG,"The USB connector  broke, and it kept popping off. I tried to turn it off, and the other two"
Electronics_5,4.0,CG,"This is such a necessary feature. The only problem is that it's only for the iPad Air."
Electronics_5,4.0,CG,'fine quality for a great price. The only problem is that it comes with a small screwdriver."
Electronics_5,5.0,CG,"As stated. Bluetooth sync is not an issue with the Pioneer."
Electronics_5,5.0,OR,"Open the box and plug it in nothing more was required to use it.  I was pleasantly surprised by the small size."
Electronics_5,5.0,OR,"Excellent little combo here for your camera.  Batteries last a long time, seem to hold a charge.  No complaints so far."
Electronics_5,5.0,OR,"Used these cables to hook up blue ray dvd players.  Works just fine and the price is right.  Shipping was quick."
Electronics_5,5.0,OR,"This is so much nicer than the picture shows. It's just like one that is more expensive. I'm very pleased with this purchase."
Electronics_5,5.0,OR,"Very pleased with product.  Was easy to put screen protector on and cleans off well (finger prints).  I would buy again."
Electronics_5,5.0,OR,"Works great for holding our flat screen on the wall. Our TV is 70 inches and it holds no problem. Easy to install."
Electronics_5,4.0,OR,"They work, just don't like the way the head phones are connected, they whirl around too much for me, but they sound ok"
Electronics_5,5.0,OR,"Really nice lens. Pictures are very nice and crisp. Also makes my Canon become very compact and easier to store in my bag."
Electronics_5,5.0,OR,"Beautiful case!  Gave this as a gift and the recipient loves it!  I have the same style and love mine too."
Electronics_5,5.0,OR,"these camera batteries are not from Canon but they hold a charge better and they also last longer than the original Canon batteries."
Electronics_5,5.0,OR,"It is Bluetooth 3.0, nano USB adapter that just works."
